batsman,batsman_runs
A Ashish Reddy,280
A Chandila,4
A Chopra,53
A Choudhary,25
A Dananjaya,4
A Flintoff,62
A Hales,152
A Joseph,15
A Kumble,35
A Mishra,368
A Mithun,34
A Mukund,19
A Nehra,41
A Singh,2
A Symonds,974
A Turner,4
A Uniyal,4
A Zampa,5
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Noffke,9
AB Agarkar,179
AB Barath,42
AB Dinda,26
AB McDonald,123
AB de Villiers,4428
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Mascarenhas,79
AD Mathews,724
AD Nath,91
AD Russell,1445
AF Milne,7
AG Murtaza,10
AG Paunikar,49
AJ Finch,1744
AJ Tye,94
AL Menaria,401
AM Nayar,672
AM Rahane,3850
AN Ahmed,36
AN Ghosh,7
AP Dole,34
AP Majumdar,87
AP Tare,339
AR Bawne,12
AR Patel,806
AS Rajpoot,18
AS Raut,194
AS Yadav,1011
AT Rayudu,3326
AUK Pathan,39
Abdur Razzak,0
Anirudh Singh,63
Ankit Sharma,164
Ankit Soni,7
Anureet Singh,37
Avesh Khan,4
Azhar Mahmood,388
B Akhil,76
B Chipli,280
B Kumar,190
B Laughlin,5
B Lee,124
B Stanlake,5
B Sumanth,35
BA Bhatt,6
BA Stokes,647
BAW Mendis,3
BB McCullum,2893
BB Samantray,125
BB Sran,11
BCJ Cutting,240
BE Hendricks,1
BJ Haddin,18
BJ Hodge,1400
BJ Rohrer,193
BMAJ Mendis,23
BR Dunk,40
Basil Thampi,32
Bipul Sharma,187
C Ingram,187
C Madan,15
C Munro,180
C Nanda,0
C de Grandhomme,313
CA Ingram,21
CA Lynn,1308
CA Pujara,390
CH Gayle,4560
CH Morris,520
CJ Anderson,538
CJ Ferguson,98
CJ Jordan,3
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,971
CM Gautam,169
CR Brathwaite,188
CR Woakes,63
CRD Fernando,4
D Kalyankrishna,3
D Salunkhe,33
D Shorey,16
D Short,123
D Wiese,127
D du Preez,10
DA Miller,1875
DA Warner,4741
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DH Yagnik,170
DJ Bravo,1498
DJ Harris,111
DJ Hooda,535
DJ Hussey,1322
DJ Jacobs,92
DJ Muthuswami,1
DJ Thornely,39
DJG Sammy,295
DL Chahar,73
DL Vettori,121
DM Bravo,6
DNT Zoysa,11
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1808
DR Martyn,19
DR Smith,2385
DS Kulkarni,101
DS Lehmann,18
DT Christian,448
DT Patil,13
DW Steyn,166
E Lewis,464
EJG Morgan,854
ER Dwivedi,24
F Behardien,14
F du Plessis,1874
FH Edwards,4
FY Fazal,183
G Gambhir,4223
GB Hogg,22
GC Smith,739
GD McGrath,4
GH Vihari,280
GJ Bailey,663
GJ Maxwell,1403
GR Napier,15
Gurkeerat Singh,446
H Brar,22
