batsman,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
A Ashish Reddy,45.0,,,36.0,,37.0,,17.0,27.0,26.0,37.0,,,55.0,
A Chandila,,0.0,,,,,,,,,,,,4.0,
A Chopra,,35.0,,13.0,,2.0,,,1.0,,,,,2.0,
A Choudhary,,,,,15.0,4.0,,,,,,,,,6.0
A Dananjaya,,,,4.0,,,,,,,,,,,
A Flintoff,,,,16.0,,,,,24.0,,,,,22.0,
A Hales,2.0,,,62.0,,,,,,,45.0,,,43.0,
A Joseph,,,,,,15.0,,,,,,,,,
A Kumble,3.0,4.0,,2.0,,9.0,,,9.0,,8.0,,,,
A Mishra,58.0,6.0,,22.0,8.0,27.0,0.0,62.0,93.0,30.0,30.0,13.0,,17.0,2.0
A Mithun,11.0,,,5.0,,16.0,,2.0,,,,,,,
A Mukund,,,,,,,,,,,19.0,,,,
A Nehra,1.0,22.0,,1.0,,6.0,,1.0,1.0,,9.0,,,0.0,0.0
A Singh,1.0,,,0.0,,,,1.0,0.0,,,,,,
A Symonds,131.0,52.0,,170.0,,154.0,,100.0,22.0,19.0,201.0,,,125.0,
A Turner,,,0.0,,,1.0,,,0.0,,,,,,3.0
A Uniyal,,,,4.0,,,,,0.0,,,,,,
A Zampa,,,,5.0,,,,,,,,,,,0.0
AA Bilakhia,12.0,,,32.0,,,,,,,3.0,,,22.0,
AA Chavan,,,,7.0,,,1.0,,4.0,,,,,,
AA Jhunjhunwala,19.0,11.0,,59.0,,19.0,,45.0,46.0,,,,,18.0,
AA Noffke,,,,,,,,9.0,,,,,,,
AB Agarkar,23.0,15.0,,56.0,,10.0,,,24.0,,39.0,,,12.0,
AB Barath,,7.0,,2.0,,,,,33.0,,,,,,
AB Dinda,2.0,2.0,,7.0,,4.0,,,3.0,,1.0,,,7.0,0.0
AB McDonald,8.0,,,30.0,,17.0,,,33.0,,14.0,,,21.0,
AB de Villiers,479.0,153.0,35.0,411.0,233.0,685.0,54.0,364.0,660.0,149.0,582.0,32.0,84.0,115.0,392.0
AC Blizzard,,1.0,,37.0,,15.0,,51.0,,6.0,,,,10.0,
AC Gilchrist,255.0,112.0,,321.0,,141.0,9.0,271.0,234.0,50.0,255.0,,,369.0,52.0
AC Thomas,1.0,12.0,,,,,,,0.0,,,,,7.0,
AC Voges,20.0,,,15.0,,45.0,,45.0,28.0,,,,,28.0,
AD Mascarenhas,8.0,,,12.0,,4.0,,36.0,9.0,5.0,,,,0.0,5.0
AD Mathews,81.0,69.0,,106.0,,57.0,,126.0,51.0,,96.0,,,64.0,74.0
AD Nath,24.0,,19.0,,,3.0,,14.0,14.0,,9.0,,,3.0,5.0
AD Russell,227.0,,118.0,109.0,,252.0,,4.0,158.0,,122.0,,17.0,334.0,104.0
AF Milne,,,,,,,,,0.0,,,7.0,,,
AG Murtaza,,,,,,,,3.0,,,2.0,,,5.0,
AG Paunikar,,20.0,,5.0,,,,24.0,,,,,,0.0,
AJ Finch,139.0,0.0,,285.0,,203.0,,252.0,217.0,25.0,141.0,46.0,50.0,242.0,144.0
AJ Tye,3.0,,,8.0,,22.0,,17.0,25.0,,1.0,,,14.0,4.0
AL Menaria,46.0,42.0,,25.0,,68.0,31.0,89.0,45.0,47.0,,,,8.0,
AM Nayar,147.0,99.0,,42.0,,94.0,,13.0,31.0,36.0,92.0,,,95.0,23.0
AM Rahane,273.0,50.0,110.0,677.0,78.0,455.0,8.0,479.0,579.0,173.0,3.0,,,590.0,375.0
AN Ahmed,8.0,,,,,,,5.0,1.0,,,,,18.0,4.0
AN Ghosh,,,,,,,,,0.0,,,,,7.0,
AP Dole,,4.0,,,,,,,30.0,,,,,,
AP Majumdar,,,,,,,,17.0,,,39.0,,,31.0,
AP Tare,39.0,,,39.0,,45.0,,34.0,0.0,,123.0,0.0,8.0,44.0,7.0
AR Bawne,,,,,,,,12.0,,,,,,,
AR Patel,79.0,,,148.0,40.0,1.0,,70.0,86.0,,50.0,46.0,1.0,155.0,130.0
AS Rajpoot,2.0,,,,,,,,6.0,,,,,1.0,9.0
AS Raut,28.0,37.0,,11.0,,27.0,,34.0,20.0,,,,,37.0,
AS Yadav,233.0,,28.0,77.0,,117.0,,181.0,,,187.0,,,94.0,94.0
AT Rayudu,320.0,108.0,32.0,449.0,20.0,350.0,53.0,352.0,115.0,92.0,335.0,22.0,44.0,583.0,451.0
AUK Pathan,14.0,4.0,,,,9.0,12.0,,0.0,,,,,,
Abdur Razzak,,,,,,,,,,,0.0,,,,
Anirudh Singh,,,,,,0.0,,14.0,,,9.0,,,40.0,
Ankit Sharma,47.0,,2.0,1.0,25.0,7.0,,1.0,24.0,,,,,57.0,
Ankit Soni,,,,,,,,,7.0,,,0.0,,,0.0
Anureet Singh,10.0,,,8.0,,,,4.0,,,0.0,,,0.0,15.0
Avesh Khan,,,,,,4.0,,,,,,,,,
Azhar Mahmood,35.0,45.0,,54.0,,,,2.0,99.0,0.0,53.0,,,96.0,4.0
B Akhil,8.0,27.0,,24.0,,,,0.0,8.0,,9.0,,,,
B Chipli,35.0,10.0,,33.0,,14.0,4.0,60.0,18.0,39.0,6.0,,,61.0,
B Kumar,35.0,8.0,2.0,14.0,,9.0,,37.0,33.0,,8.0,0.0,22.0,19.0,3.0
B Laughlin,0.0,,,,,,,,4.0,,,,,,1.0
B Lee,6.0,14.0,,27.0,,,2.0,7.0,29.0,,30.0,,,9.0,
B Stanlake,,,,,,,,,5.0,,,,,,
B Sumanth,16.0,,,7.0,,6.0,,,,,,,,6.0,
BA Bhatt,,0.0,,,,,,6.0,,,,,,,
BA Stokes,133.0,,8.0,53.0,128.0,83.0,,60.0,80.0,,,,,32.0,70.0
BAW Mendis,,,,,,,,,0.0,,,,,3.0,
BB McCullum,236.0,36.0,,305.0,,277.0,,351.0,477.0,83.0,159.0,94.0,92.0,569.0,214.0
BB Samantray,,,,,,10.0,,5.0,,39.0,69.0,,,2.0,
BB Sran,,,,2.0,,,,6.0,,,,,1.0,,2.0
BCJ Cutting,,,5.0,45.0,8.0,22.0,,40.0,20.0,,24.0,,,67.0,9.0
BE Hendricks,1.0,,,,,,,,0.0,,,,,,
BJ Haddin,,,,,,,,,,,,,,18.0,
BJ Hodge,186.0,140.0,,89.0,,188.0,,139.0,262.0,79.0,89.0,,,165.0,63.0
BJ Rohrer,4.0,,,,,49.0,,10.0,,20.0,64.0,,,46.0,
BMAJ Mendis,12.0,,,,,,,,0.0,,,,,,11.0
BR Dunk,,,,,,5.0,,,,,,,,15.0,20.0
Basil Thampi,,,1.0,,,11.0,,,5.0,,,2.0,,0.0,13.0
Bipul Sharma,7.0,8.0,,,27.0,,,66.0,7.0,35.0,19.0,8.0,5.0,5.0,
C Ingram,3.0,,,,,58.0,,24.0,47.0,,15.0,,,34.0,6.0
C Madan,,,,15.0,,,,,,,,,,,
C Munro,53.0,,,,,4.0,,33.0,8.0,,0.0,,,,82.0
C Nanda,,,,,,,,,,,0.0,,,,
C de Grandhomme,23.0,,,7.0,,11.0,,14.0,56.0,,2.0,36.0,,31.0,133.0
CA Ingram,7.0,,,,,,,,1.0,13.0,,,,,
CA Lynn,119.0,,20.0,36.0,93.0,255.0,,,211.0,,121.0,,,231.0,222.0
CA Pujara,15.0,52.0,,35.0,,70.0,,19.0,19.0,,114.0,,,31.0,35.0
